,student_id,name,age,gender,score,phone,city,email,date_of_join,course,attendance,status,gpa,remarks,money_spent,event_time,address_raw,hobbies,siblings,father_income,mother_income,soft_skills,python_skill,excel_skill,sql_skill,addr_postal,addr_district,addr_city
17,18,Zachary Lyons,18.0,Male,68.0,+998425525722,Chenport,invalid_email,,Data Science,110,inactive,,average,138.0,,"Apartment 22, Port Kevin district, Tashkent, UZ, 100106",,,,,,,,,100106.0,Port Kevin district,Tashkent
18,19,,20.0,Female,50.0,+998790996883,West Danaville,invalid_email,1974-02-20 00:00:00,Data Science,110,active,3.05,excellent,6600.0,,,,,,,,,,,,,
19,20,Anthony Hardy,20.0,Male,90.0,+998287301241,Kimport,invalid_email,,Other,65,pending,,excellent,218.0,2021-07-23 07:23:13,"Masontown 10-kv, dom 21, Tashkent","certainly, defense",4.0,1220.0,1220.0,"medical, quality",5.0,2.0,4.0,,,Tashkent
20,21,Hector Beltran,20.0,Male,52.0,,North Harry,preid@hotmail.com,2010-02-02 00:00:00,Data Science,110,active,15.5,good,153.0,,,,,,,,,,,,,
21,22,Tara Nguyen,22.0,Unknown,73.0,+998742999225,Brittanychester,invalid_email,,Python,78,inactive,,excellent,174.0,,UZ 100063 Tashkent Lake Shaneland,"create, accept",3.0,1140.0,1117.0,"new, manager",1.0,3.0,1.0,100063.0,,Tashkent
22,23,Jessica Robinson,22.0,Male,90.0,+998093768300,Jonesfurt,,,Other,81,inactive,,good,26100.0,,"0451 James Cliffs Suite 725, Wagnermouth",,,,,,,,,,,Wagnermouth
23,24,Latoya Williams,,Male,60.0,,North Ashleyborough,,,Data Science,110,pending,,excellent,14800.0,2021-11-12 15:59:30,"0258 Sean Keys Apt. 380, Kevinfort","step, section",0.0,1376.0,871.0,"beat, popular",1.0,5.0,3.0,,,Kevinfort
24,25,,21.0,Unknown,90.0,,Donnaview,invalid_email,,Data Science,,pending,15.5,excellent,135.0,,"06462 Buck Springs Apt. 169, North Lisa","phone, consider",0.0,1453.0,206.0,"must, around",1.0,3.0,2.0,,,
25,26,,21.0,Female,90.0,,Harrisbury,invalid_email,2022-07-18 17:43:00,Other,96,pending,15.5,good,29900.0,,"Apartment 20, Lake Crystal district, Tashkent, UZ, 100119","tough, role",1.0,623.0,577.0,"south, his",3.0,1.0,2.0,100119.0,Lake Crystal district,Tashkent
26,27,Emily Cummings,22.0,Female,59.0,,East Dariuston,invalid_email,2023-04-28 18:06:01,Python,,inactive,1.18,average,245.0,,"Apartment 27, South David district, Tashkent, UZ, 100696","billion, feeling",4.0,303.0,1245.0,"thought, particularly",3.0,1.0,3.0,100696.0,South David district,Tashkent
27,28,Brandy Powell,,Unknown,87.0,+998302929740,Oconnellburgh,invalid_email,,Python,107,inactive,,excellent,285.0,,,"energy, however",4.0,1105.0,1106.0,"either, plan",2.0,1.0,3.0,,,
28,29,,21.0,Male,88.0,+998102921287,West Rachel,elizabeth49@yahoo.com,,Other,,inactive,,,295.0,,"241 Sarah Spring, Bridgetton",,,,,,,,,,,Bridgetton
29,30,Jaime Rowe,,Female,69.0,+998929598929,Shepardmouth,eolson@carr.net,,Data Science,64,pending,,average,294.0,2022-04-24 08:54:19,"Port Robertstad 16-kv, dom 50, Tashkent","woman, wear",4.0,1291.0,913.0,"reduce, than",4.0,5.0,3.0,,,Tashkent
30,31,Brianna Castro,21.0,Unknown,90.0,,East Regina,invalid_email,,Data Science,110,pending,-2.0,average,63.0,,,,,,,,,,,,,
31,32,April Johnson,20.0,Male,90.0,+998548293587,Andersontown,invalid_email,2021-11-27 01:13:12,Python,110,active,-2.0,good,289.0,,"Apartment 42, Christineburgh district, Tashkent, UZ, 100686","material, relate",4.0,1124.0,1323.0,"against, history",5.0,3.0,3.0,100686.0,Christineburgh district,Tashkent
32,33,Joyce Franklin,20.0,Female,60.0,+998905816281,South Brittany,invalid_email,,Data Science,66,inactive,15.5,excellent,57.0,,"New Antonio 12-kv, dom 41, Tashkent","run, case",4.0,1009.0,1369.0,"rock, never",4.0,2.0,3.0,,,Tashkent
33,34,,20.0,Female,,,Hillmouth,invalid_email,1983-05-24 00:00:00,Data Science,67,active,,excellent,17200.0,,UZ 100883 Tashkent West Michaelport,"decide, least",4.0,763.0,1393.0,"mouth, laugh",5.0,5.0,2.0,100883.0,,Tashkent
34,35,,22.0,Female,,+998303522091,North Maryfort,,,Data Science,110,pending,-2.0,,136.0,,UZ 100652 Tashkent Lake Donaldton,,,,,,,,,100652.0,,Tashkent
35,36,,22.0,Unknown,87.0,,North Gerald,invalid_email,2018-11-11 00:00:00,Python,110,inactive,15.5,average,202.0,,"North Amy 11-kv, dom 49, Tashkent","stay, even",1.0,219.0,1344.0,"generation, group",3.0,5.0,3.0,,,Tashkent
36,37,Jeremy Fry,18.0,Female,90.0,+998025622965,New Kent,mccoyandrew@yahoo.com,2023-08-30 22:57:05,Data Science,110,pending,,average,157.0,,"Apartment 49, New Ian district, Tashkent, UZ, 100606",,,,,,,,,100606.0,New Ian district,Tashkent
37,38,Christopher Sosa,20.0,Male,90.0,,New Aliceland,invalid_email,,Other,67,active,,excellent,242.0,,"Apartment 22, Youngton district, Tashkent, UZ, 100192","art, learn",2.0,1354.0,448.0,"write, alone",3.0,2.0,3.0,100192.0,Youngton district,Tashkent
38,39,David Duke,20.0,Female,,+998266776949,Harrishaven,invalid_email,2004-09-26 00:00:00,Python,110,active,,excellent,159.0,,UZ 100766 Tashkent Port William,,,,,,,,,100766.0,,Tashkent
39,40,Sara Page,20.0,Female,71.0,,West William,edgar27@phillips-martin.info,2022-03-26 05:45:17,Python,110,inactive,,,140.0,,"73317 Timothy Port Suite 163, Dicksonbury","imagine, middle",5.0,270.0,255.0,"begin, movement",3.0,4.0,4.0,,,Dicksonbury
40,41,,19.0,Male,,,West Georgefort,,,Data Science,,active,15.5,average,225.0,2021-04-03 02:43:08,"4613 Robert Cliff Suite 875, South Leslie","particular, turn",5.0,1364.0,1312.0,"trip, toward",1.0,4.0,2.0,,,
41,42,Mark Smith,,Male,90.0,,West Morganchester,invalid_email,,Data Science,81,inactive,-2.0,excellent,255.0,,"Apartment 17, Port Kristopherberg district, Tashkent, UZ, 100563",,,,,,,,,100563.0,Port Kristopherberg district,Tashkent
42,43,Amanda Myers,19.0,Female,90.0,+998981153243,North Christopherborough,invalid_email,2021-06-24 12:05:49,Data Science,110,pending,-2.0,average,14000.0,,UZ 100515 Tashkent North Joseph,"professional, necessary",1.0,1134.0,1304.0,"recent, tend",5.0,4.0,2.0,100515.0,,Tashkent
43,44,Eric George,18.0,Male,93.0,,Nathanborough,invalid_email,2022-03-17 10:25:13,Python,,inactive,,good,205.0,2022-06-27 20:25:36,UZ 100297 Tashkent North Candace,,,,,,,,,100297.0,,Tashkent
44,45,,20.0,Unknown,83.0,,Duncanfort,invalid_email,2022-12-26 11:07:23,Data Science,110,active,0.0,excellent,135.0,,"Annahaven 19-kv, dom 3, Tashkent","finish, true",5.0,778.0,355.0,"enter, response",4.0,2.0,2.0,,,Tashkent
45,46,Brandi Jones,20.0,Male,,,Ramirezborough,lawrence93@robinson-davis.com,,Data Science,92,inactive,15.5,,172.0,,,"raise, let",3.0,209.0,1191.0,"tell, compare",1.0,5.0,2.0,,,
46,47,John Robinson,19.0,Unknown,51.0,,Port Tracy,wallacerandy@bradshaw.com,2021-01-18 15:09:03,Other,,active,15.5,average,16600.0,,UZ 100626 Tashkent East Williamport,"above, even",4.0,1127.0,1111.0,"minute, view",3.0,2.0,5.0,100626.0,,Tashkent
47,48,Suzanne Meyer,,Male,95.0,,South Joshua,bartlettchristy@perez-strickland.com,1972-09-21 00:00:00,Data Science,110,active,,,144.0,,"6637 Michelle Unions Apt. 959, Erikfort","do, property",1.0,709.0,1006.0,"parent, raise",3.0,1.0,4.0,,,Erikfort
48,49,,18.0,Female,90.0,+998718094741,Lake Michael,invalid_email,2023-01-02 03:42:09,Data Science,81,active,-2.0,average,225.0,,"00607 Alvarez Circles Suite 553, North Benjamin",,,,,,,,,,,
49,50,Justin Wong,18.0,Female,90.0,+998991771999,Travisfort,invalid_email,,Other,110,active,,average,164.0,,"Apartment 28, East Andrew district, Tashkent, UZ, 100090","decide, continue",3.0,204.0,506.0,"these, could",4.0,4.0,3.0,100090.0,East Andrew district,Tashkent
50,51,James Davis,20.0,Female,61.0,,New Emilyshire,invalid_email,,Data Science,,inactive,,average,132.0,,UZ 100391 Tashkent Lake Amy,,,,,,,,,100391.0,,Tashkent
51,52,Mitchell Conway,19.0,Female,63.0,+998709119906,Lake Louis,,,Other,,inactive,-2.0,,205.0,2023-01-10 06:52:10,,"painting, tough",3.0,543.0,1003.0,"hour, series",4.0,5.0,2.0,,,
52,53,,20.0,Female,88.0,+998911185301,West Lindsayview,dclark@boyd.info,2012-06-25 00:00:00,Other,110,inactive,,average,251.0,,UZ 100232 Tashkent Annabury,,,,,,,,,100232.0,,Tashkent
53,54,Heather Moreno,19.0,Female,83.0,+998828905514,South Jasmine,invalid_email,2025-07-25 00:00:00,Data Science,,pending,,excellent,221.0,,"Christown 6-kv, dom 20, Tashkent","leave, effect",1.0,581.0,302.0,"six, reduce",3.0,5.0,5.0,,,Tashkent
54,55,Todd Moore,21.0,Male,,+998223014006,Richardview,schmidtregina@gmail.com,,Other,110,inactive,0.0,excellent,51.0,,"Apartment 40, West Davidhaven district, Tashkent, UZ, 100291",,,,,,,,,100291.0,West Davidhaven district,Tashkent
55,56,,21.0,Female,90.0,,Katelynton,dominguezerin@solis.org,2021-09-21 03:28:09,Python,,inactive,,,298.0,,"Apartment 42, South Charles district, Tashkent, UZ, 100904","where, game",1.0,602.0,1380.0,"per, detail",4.0,2.0,1.0,100904.0,South Charles district,Tashkent
56,57,Ashley Lowe,,Female,90.0,+998006715583,Robertshire,zvargas@chapman.org,,Other,,inactive,,average,236.0,,"87807 Kayla Glens, Autumnmouth",,,,,,,,,,,Autumnmouth
57,58,Eric Holmes,,Male,57.0,+998219273279,West Tricia,invalid_email,,Other,80,pending,15.5,excellent,160.0,,"682 Vasquez Expressway Suite 699, West Nicolechester","recognize, between",5.0,1178.0,1209.0,"image, leg",5.0,2.0,2.0,,,
58,59,Nathan Melendez,20.0,Female,75.0,+998671082545,Wheelerport,invalid_email,,Data Science,,active,,average,65.0,,"Apartment 9, Laurabury district, Tashkent, UZ, 100798",,,,,,,,,100798.0,Laurabury district,Tashkent
59,60,Brett Cabrera,,Unknown,90.0,,Port Carlos,invalid_email,2022-07-07 17:07:18,Data Science,,active,15.5,excellent,12100.0,,"East Elizabethhaven 9-kv, dom 15, Tashkent",,,,,,,,,,,Tashkent
60,61,William Moore,,Female,93.0,+998428357188,Port Juanland,,2010-05-07 00:00:00,Data Science,,inactive,3.2,average,5000.0,,"6258 Gordon Road, Smithshire","painting, kid",5.0,964.0,1178.0,"fill, growth",1.0,4.0,2.0,,,Smithshire
61,62,Margaret Lopez,20.0,Male,90.0,+998810051067,East Caitlinfurt,invalid_email,,Python,106,active,4.07,,18300.0,2023-09-26 21:00:08,,"others, one",5.0,946.0,741.0,"enjoy, test",3.0,5.0,2.0,,,
62,63,William Olsen,22.0,Female,90.0,+998891183975,East Sophia,invalid_email,,Data Science,,inactive,3.72,excellent,138.0,,"9057 Griffin Heights, Rasmussenside",,,,,,,,,,,Rasmussenside
63,64,,19.0,Female,90.0,,Christopherborough,invalid_email,,Python,,active,,good,97.0,,,"stock, management",3.0,786.0,987.0,"move, bar",3.0,5.0,1.0,,,
64,65,Randall Heath,18.0,Male,90.0,+998736033101,Deleonside,invalid_email,2022-08-11 18:02:11,Python,65,pending,,average,105.0,,"Apartment 7, Lutzfort district, Tashkent, UZ, 100220","position, stuff",5.0,527.0,408.0,"two, economy",3.0,4.0,1.0,100220.0,Lutzfort district,Tashkent
65,66,,20.0,Male,90.0,+998149895033,North Markbury,nrichard@carney.com,,Data Science,99,inactive,,average,27400.0,,"67890 Conrad Walks, East Tannermouth","shake, behind",5.0,1227.0,564.0,"what, happy",3.0,4.0,5.0,,,
66,67,Ashley Mills,,Female,90.0,,Youngside,invalid_email,,Other,,pending,,excellent,276.0,,,"share, fly",0.0,1427.0,1378.0,"floor, question",2.0,5.0,3.0,,,
67,68,John Rosario,18.0,Female,82.0,+998559929289,Belindabury,,,Data Science,,inactive,-2.0,good,190.0,,"Apartment 1, North Adammouth district, Tashkent, UZ, 100059","result, current",5.0,1037.0,1043.0,"return, address",3.0,1.0,4.0,100059.0,North Adammouth district,Tashkent
68,69,,21.0,Unknown,,,Jenniferfort,invalid_email,2021-03-31 07:13:37,Data Science,109,inactive,,average,209.0,,,,,,,,,,,,,
69,70,,,Female,66.0,+998598796579,Lake Josephville,nathaniel54@lloyd.biz,,Data Science,110,pending,,excellent,88.0,,"Port Lisa 17-kv, dom 46, Tashkent","ahead, force",5.0,658.0,561.0,"where, responsibility",5.0,1.0,1.0,,,Tashkent
70,71,Robert Hayes,,Male,,+998562362942,Tabithafurt,teresa05@collins.biz,2021-12-02 18:05:32,Python,63,pending,,excellent,10300.0,,"Benitezmouth 14-kv, dom 38, Tashkent","lead, toward",5.0,494.0,1415.0,"through, water",1.0,2.0,3.0,,,Tashkent
71,72,William Weiss,,Female,78.0,+998361875307,Williamfort,invalid_email,2022-05-11 09:28:45,Data Science,,active,15.5,,5700.0,,"313 Ayala Point, East Nicholas",,,,,,,,,,,
72,73,,,Female,90.0,,Smithville,scampbell@mendez.biz,,Other,,inactive,3.19,good,117.0,,,,,,,,,,,,,
73,74,Brandi Reed,,Male,90.0,,Port Randallberg,invalid_email,1990-09-05 00:00:00,Python,89,pending,,excellent,176.0,,,,,,,,,,,,,
74,75,,22.0,Female,98.0,,East Shelly,lsmith@gmail.com,2023-03-06 03:01:15,Other,,active,2.71,average,200.0,2006-03-02 10:39:00,,"dark, exist",0.0,294.0,207.0,"store, position",5.0,1.0,4.0,,,
75,76,Anthony Hendricks,,Unknown,,+998166147591,Figueroamouth,,,Data Science,110,inactive,,,117.0,2023-04-14 02:02:02,UZ 100760 Tashkent Millermouth,,,,,,,,,100760.0,,Tashkent
76,77,Alexa Sanders,21.0,Male,73.0,+998477475643,Lake Randymouth,johnsonchelsea@yahoo.com,,Data Science,,active,0.0,excellent,25600.0,,"034 Cooley Way, East Ian",,,,,,,,,,,
77,78,,18.0,Male,95.0,,Romeroville,invalid_email,,Python,,active,,good,217.0,,,,,,,,,,,,,
78,79,Garrett Taylor,,Female,,,Martinezfort,,,Other,89,active,0.0,excellent,225.0,1974-11-07 16:09:00,UZ 100510 Tashkent Andrewmouth,,,,,,,,,100510.0,,Tashkent
79,80,Brandy Gray,19.0,Male,90.0,+998676642283,Andrewborough,ballen@barber-saunders.com,,Data Science,105,active,4.49,average,266.0,,UZ 100622 Tashkent Aarontown,,,,,,,,,100622.0,,Tashkent
80,81,Donna Scott,19.0,Female,,+998366003596,Lake Timfort,alicia71@robles.com,,Other,110,active,-2.0,excellent,65.0,,UZ 100720 Tashkent Lake Hollytown,,,,,,,,,100720.0,,Tashkent
81,82,Karen Baker MD,,Female,60.0,,Kristinabury,paul48@brown.com,1974-09-10 00:00:00,Data Science,110,active,,average,68.0,2022-12-26 17:00:20,UZ 100855 Tashkent Lake Tyler,"garden, possible",4.0,349.0,536.0,"after, similar",1.0,4.0,4.0,100855.0,,Tashkent
82,83,,18.0,Female,90.0,+998387607654,Ayershaven,invalid_email,,Other,102,inactive,15.5,good,172.0,,"Apartment 18, Tarafurt district, Tashkent, UZ, 100739","actually, commercial",1.0,1111.0,456.0,"example, defense",1.0,3.0,5.0,100739.0,Tarafurt district,Tashkent
83,84,Michael Jenkins,18.0,Female,68.0,+998135870913,New Brenda,mcolon@gmail.com,,Other,110,inactive,-2.0,average,284.0,,,"collection, single",5.0,675.0,1465.0,"expect, fall",4.0,4.0,1.0,,,
84,85,,21.0,Male,75.0,,New Nicoleside,invalid_email,,Data Science,,inactive,-2.0,excellent,9500.0,,"33084 Williams Point, Jesusborough",,,,,,,,,,,Jesusborough
85,86,Mario Ramirez,22.0,Unknown,90.0,,Deannachester,invalid_email,2022-04-22 21:23:10,Python,110,pending,0.0,,11100.0,,,,,,,,,,,,,
86,87,Kyle Doyle,,Female,,,Powersland,invalid_email,,Data Science,,inactive,,,66.0,,"South Jacobview 25-kv, dom 42, Tashkent","example, break",4.0,491.0,426.0,"PM, structure",3.0,4.0,3.0,,,Tashkent
87,88,Hannah Montes,21.0,Unknown,,,South Thomas,,,Python,68,active,3.81,,110.0,2022-01-30 22:39:47,UZ 100240 Tashkent Charlesshire,"dream, forward",5.0,626.0,1045.0,"like, clear",5.0,5.0,2.0,100240.0,,Tashkent
88,89,James Weaver,22.0,Female,,+998800269976,West Jonathan,invalid_email,,Python,110,pending,,,149.0,2022-02-19 15:21:07,"Apartment 8, South Christina district, Tashkent, UZ, 100031","anything, catch",4.0,503.0,394.0,"like, how",1.0,2.0,2.0,100031.0,South Christina district,Tashkent
89,90,Johnny Nguyen,20.0,Male,,,West Henrymouth,sherrimanning@gmail.com,,Python,,inactive,,excellent,288.0,,,,,,,,,,,,,
90,91,Barry Cooper,,Female,82.0,,Georgeshire,invalid_email,,Python,,active,2.48,excellent,283.0,,"Apartment 15, North Nicholas district, Tashkent, UZ, 100716",,,,,,,,,100716.0,North Nicholas district,Tashkent
91,92,Peter Rogers,18.0,Female,,,Tonytown,invalid_email,,Python,,active,,excellent,260.0,,"East Joshuaton 6-kv, dom 44, Tashkent",,,,,,,,,,,Tashkent
92,93,Samantha Garcia,,Female,,,Port Jeremyburgh,invalid_email,2023-08-07 14:22:18,Data Science,89,pending,,excellent,195.0,,,,,,,,,,,,,
93,94,,21.0,Female,,,West Bryanburgh,invalid_email,2015-09-14 00:00:00,Other,110,pending,3.72,good,51.0,,"3646 Micheal Place, Port Douglas","fly, me",2.0,1215.0,272.0,"ago, per",5.0,1.0,3.0,,,
94,95,,19.0,Male,82.0,,Leechester,invalid_email,,Data Science,,pending,4.44,good,144.0,,,,,,,,,,,,,
95,96,Joel Cantrell,18.0,Female,91.0,+998687229572,Duncanshire,john55@cox-horne.org,,Other,110,inactive,15.5,average,295.0,,"902 Wiggins Mill, East Susan","skill, continue",3.0,1454.0,391.0,"actually, condition",1.0,5.0,4.0,,,
96,97,,19.0,Female,,,Port Donald,,,Python,,pending,,excellent,106.0,,UZ 100535 Tashkent South Jasonfurt,,,,,,,,,100535.0,,Tashkent
97,98,Kathy Massey,,Female,,,Eddiefort,invalid_email,,Data Science,110,inactive,,average,251.0,,UZ 100126 Tashkent South Teresafurt,,,,,,,,,100126.0,,Tashkent
98,99,Christopher Williams,22.0,Male,,+998363137124,Meganfort,invalid_email,2022-05-16 14:15:24,Data Science,110,active,-2.0,average,265.0,,,"never, agent",2.0,1201.0,1493.0,"necessary, billion",5.0,4.0,3.0,,,
99,100,,,Female,91.0,+998864132941,West Jacqueline,invalid_email,2023-09-03 00:43:26,Data Science,114,pending,,excellent,145.0,2021-04-10 10:50:17,UZ 100196 Tashkent West Dawnport,"Mrs, director",4.0,281.0,791.0,"need, relationship",4.0,1.0,2.0,100196.0,,Tashkent
100,101,Sharon Rodriguez,18.0,Male,93.0,,Tammytown,,,Other,110,pending,,excellent,169.0,,"4414 Jessica Mountains Apt. 231, Evansfort","watch, movement",3.0,1483.0,283.0,"morning, garden",4.0,5.0,4.0,,,Evansfort
101,102,Gary Allison,,Female,,+998007128211,Michaelmouth,invalid_email,,Python,110,pending,-2.0,good,26100.0,,,"always, wife",5.0,744.0,1338.0,"several, federal",2.0,3.0,1.0,,,
102,103,Barbara Goodman,,Female,90.0,,West Sergiochester,emilycarson@hotmail.com,2023-06-13 16:16:20,Other,,pending,0.0,excellent,189.0,,,"final, son",0.0,1376.0,1070.0,"process, include",5.0,5.0,4.0,,,
103,104,Melissa Crane,20.0,Female,81.0,+998090363015,Colemanland,invalid_email,1970-12-20 00:00:00,Python,,active,15.5,good,198.0,2004-04-12 23:36:00,UZ 100349 Tashkent New Heather,"none, child",1.0,361.0,403.0,"community, sound",3.0,3.0,4.0,100349.0,,Tashkent
104,105,,19.0,Female,77.0,,Lake Jerry,davidsavage@yahoo.com,2021-02-04 07:16:10,Python,,inactive,-2.0,average,85.0,2021-09-25 12:30:13,"West Billy 17-kv, dom 10, Tashkent","plan, why",3.0,282.0,598.0,"administration, the",4.0,3.0,4.0,,,Tashkent
105,106,Jeanette Harmon,20.0,Female,81.0,+998956182527,Bowerschester,invalid_email,2020-11-28 07:41:47,Data Science,82,active,-2.0,excellent,23500.0,2021-08-12 20:55:45,"Apartment 32, Port Kyleburgh district, Tashkent, UZ, 100452",,,,,,,,,100452.0,Port Kyleburgh district,Tashkent
106,107,,20.0,Female,89.0,,Port Bonniestad,christinaclark@hotmail.com,,Data Science,,inactive,,excellent,192.0,2023-06-06 04:29:33,"New Amber 19-kv, dom 4, Tashkent",,,,,,,,,,,Tashkent
107,108,Jennifer Phelps,21.0,Female,90.0,+998208890335,Toddstad,invalid_email,,Python,,inactive,-2.0,good,18300.0,,"30197 Mary Fork, South Brittany",,,,,,,,,,,
108,109,Toni Mcdonald,22.0,Female,61.0,+998689512037,New Paulton,invalid_email,1982-01-02 00:00:00,Data Science,120,pending,,excellent,220.0,,UZ 100223 Tashkent Port David,,,,,,,,,100223.0,,Tashkent
109,110,,19.0,Male,,+998124657244,West Justinborough,invalid_email,1990-07-16 00:00:00,Data Science,,inactive,3.19,good,210.0,,,,,,,,,,,,,
110,111,Justin Bell,21.0,Male,70.0,+998077552635,Fullerland,invalid_email,,Python,,inactive,,good,252.0,2021-07-05 20:20:00,,"despite, result",1.0,1321.0,825.0,"sound, until",3.0,2.0,4.0,,,
111,112,,20.0,Female,81.0,,New Emilytown,invalid_email,2020-11-29 01:22:56,Data Science,110,pending,3.56,good,200.0,,,"song, chance",5.0,1473.0,226.0,"concern, evidence",4.0,3.0,3.0,,,
112,113,Joseph Burton,21.0,Unknown,90.0,,East Saraville,shannon36@york-vargas.com,,Data Science,103,pending,,good,27000.0,,"Apartment 19, Scotthaven district, Tashkent, UZ, 100170","he, magazine",3.0,945.0,632.0,"resource, late",5.0,4.0,3.0,100170.0,Scotthaven district,Tashkent
113,114,,22.0,Unknown,78.0,+998929940176,Hallton,invalid_email,,Data Science,102,inactive,3.72,,289.0,,UZ 100075 Tashkent Boothtown,"degree, two",2.0,1402.0,1448.0,"front, change",4.0,3.0,1.0,100075.0,,Tashkent
114,115,Thomas Meyer,20.0,Female,76.0,,East Robert,pparker@peters-hall.com,,Python,110,pending,0.0,,148.0,,"Apartment 5, Fosterside district, Tashkent, UZ, 100730",,,,,,,,,100730.0,Fosterside district,Tashkent
115,116,Susan Bowen,20.0,Female,50.0,+998063198751,Port Traceyton,invalid_email,2021-12-17 12:00:11,Other,110,pending,,excellent,170.0,,"9072 Pratt Summit Suite 990, South Jason","send, parent",3.0,330.0,788.0,"care, fly",4.0,4.0,2.0,,,
116,117,Richard Burton,21.0,Unknown,90.0,,Catherineview,invalid_email,1978-06-06 00:00:00,Python,105,inactive,15.5,good,17200.0,,,"although, at",1.0,993.0,869.0,"simple, fire",4.0,2.0,4.0,,,
117,118,Andrew Taylor,,Unknown,80.0,+998346566078,Marvinmouth,invalid_email,2010-06-30 00:00:00,Python,110,pending,15.5,,79.0,2021-01-25 14:45:10,"392 Christopher Center, Port Lindseyfort","research, keep",4.0,1157.0,606.0,"recently, her",5.0,4.0,3.0,,,
